"CardName","BadgeName","TaskNumber","IsTaskActive","TaskType","TaskOverrideTID","TaskUnlockLevel","Objective1","RewardType1","RewardAmount1","Objective2","RewardType2","RewardAmount2","Objective3","RewardType3","RewardAmount3","SingleRequirementAmount"
,,3,"FALSE",,,14,,,,,,,,,,
"GoblinCage",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","ReceiveHits",,8,1650,"Cards",100,4950,"Gold",4000,8250,"Gems",150,
,,2,"TRUE","DealDamage",,11,135000,"Gold",6000,385000,"WildcardRare",100,670000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"GoldenKnight",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,12,215000,"Cards",1,650000,"Gold",10000,1080000,"Gems",150,
,,2,"TRUE","HitAnythingWithCharge",,13,350,"Gold",15000,1000,"Gems",300,1750,"Gold",25000,
,,3,"FALSE",,,14,,,,,,,,,,
"Hunter",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,180000,"Cards",20,540000,"Gold",6000,910000,"Gems",150,
,,2,"TRUE","KillUnits",,11,490,"Gold",9000,1400,"WildcardEpic",20,2450,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"InfernoDragon",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,205000,"Cards",2,610000,"Gold",8000,1020000,"Gems",150,
,,2,"TRUE","HitUnitsWithMaxStrength",,12,490,"Gold",12000,1400,"WildcardLegendary",2,2450,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"RageBarbarian",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,165000,"Cards",2,490000,"Gold",8000,820000,"Gems",150,
,,2,"TRUE","EnrageUnits",,12,420,"Gold",12000,1200,"WildcardLegendary",2,2100,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"EliteArcher",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,230000,"Cards",2,690000,"Gold",8000,1160000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,12,420,"Gold",12000,1200,"WildcardLegendary",2,2100,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"WitchMother",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,160000,"Cards",2,475000,"Gold",8000,800000,"Gems",150,
,,2,"TRUE","KillUnits",,12,350,"Gold",12000,1000,"WildcardLegendary",2,1750,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"DarkWitch",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,175000,"Cards",2,530000,"Gold",8000,880000,"Gems",150,
,,2,"TRUE","SpawnUnits",,12,1400,"Gold",12000,4000,"WildcardLegendary",2,7000,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"SkeletonKing",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,12,215000,"Cards",1,650000,"Gold",10000,1080000,"Gems",150,
,,2,"TRUE","SpawnUnits",,13,1450,"Gold",15000,4200,"Gems",300,7350,"Gold",25000,
,,3,"FALSE",,,14,,,,,,,,,,
"BombTower",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,100000,"Cards",100,305000,"Gold",4000,510000,"Gems",150,
,,2,"TRUE","KillUnits",,11,490,"Gold",6000,1400,"WildcardRare",100,2450,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Tesla",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,75000,"Cards",200,220000,"Gold",2000,370000,"Gems",150,
,,2,"TRUE","HitUnits",,10,1050,"Gold",3000,3000,"WildcardCommon",200,5250,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"FirespiritHut",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","SpawnUnits",,8,660,"Cards",100,1950,"Gold",4000,3250,"Gems",150,
,,2,"TRUE","DealDamage","TID_MASTERY_TASK_DEALDAMAGE_FURNACE",11,240000,"Gold",6000,680000,"WildcardRare",100,1200000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Freeze",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","HitUnitsAndBuildings",,9,300,"Cards",20,900,"Gold",6000,1500,"Gems",150,
,,2,"TRUE","DebuffedUnitHitsReceived","TID_MASTERY_TASK_HITFROZENENEMIES",11,840,"Gold",9000,2400,"WildcardEpic",20,4200,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Poison",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,50000,"Cards",20,155000,"Gold",6000,255000,"Gems",150,
,,2,"TRUE","KillUnits",,11,350,"Gold",9000,1000,"WildcardEpic",20,1750,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"ArcherQueen",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,12,300000,"Cards",1,900000,"Gold",10000,1500000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,13,560,"Gold",15000,1600,"Gems",300,2800,"Gold",25000,
,,3,"FALSE",,,14,,,,,,,,,,
"Barbarians",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,110000,"Cards",200,330000,"Gold",2000,550000,"Gems",150,
,,2,"TRUE","KillUnits",,10,350,"Gold",3000,1000,"WildcardCommon",200,1750,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Bowler",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,185000,"Cards",20,560000,"Gold",6000,930000,"Gems",150,
,,2,"TRUE","KnockbackUnits",,11,560,"Gold",9000,1600,"WildcardEpic",20,2800,"Gold",15000,
,,3,"TRUE","KnockbackUnitsSingleDeploy","TID_MASTERY_TASK_KNOCKBACKUNITSSINGLEDEPLOY_BOWLER",14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,10
"AxeMan",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,220000,"Cards",20,660000,"Gold",6000,1100000,"Gems",150,
,,2,"TRUE","KillUnits",,11,700,"Gold",9000,2000,"WildcardEpic",20,3500,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Giant",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,57500,"Cards",100,175000,"Gold",4000,290000,"Gems",150,
,,2,"TRUE","HitTowers",,11,490,"Gold",6000,1400,"WildcardRare",100,2450,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Graveyard",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,140000,"Cards",2,420000,"Gold",8000,700000,"Gems",150,
,,2,"TRUE","HitTowers",,12,1750,"Gold",12000,5000,"WildcardLegendary",2,8750,"Gold",18000,
,,3,"TRUE","DealTowerHitsSingleBattle",,14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,30
"MinionHorde",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,140000,"Cards",200,420000,"Gold",2000,700000,"Gems",150,
,,2,"TRUE","KillUnits",,10,420,"Gold",3000,1200,"WildcardCommon",200,2100,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"Prince",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,205000,"Cards",20,610000,"Gold",6000,1020000,"Gems",150,
,,2,"TRUE","HitAnythingWithCharge",,11,245,"Gold",9000,700,"WildcardEpic",20,1250,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"RamRider",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,170000,"Cards",2,510000,"Gold",8000,850000,"Gems",150,
,,2,"TRUE","HitAnythingWithCharge",,12,195,"Gold",12000,560,"WildcardLegendary",2,980,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"RoyalHogs",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,120000,"Cards",100,360000,"Gold",4000,600000,"Gems",150,
,,2,"TRUE","HitTowers",,11,2250,"Gold",6000,6400,"WildcardRare",100,11000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"InfernoTower",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,110000,"Cards",100,330000,"Gold",4000,550000,"Gems",150,
,,2,"TRUE","HitUnitsWithMaxStrength",,11,280,"Gold",6000,800,"WildcardRare",100,1400,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"GoblinHut",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","SpawnUnits",,8,960,"Cards",100,2850,"Gold",4000,4750,"Gems",150,
,,2,"TRUE","DealDamage","TID_MASTERY_TASK_DEALDAMAGE_GOBLIN_HUT",11,230000,"Gold",6000,660000,"WildcardRare",100,1140000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"AngryBarbarians",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,7,205000,"Cards",200,610000,"Gold",2000,1020000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,10,350,"Gold",3000,1000,"WildcardCommon",200,1750,"Gold",5000,
,,3,"FALSE",,,14,,,,,,,,,,
"GiantSkeleton",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,220000,"Cards",20,670000,"Gold",6000,1120000,"Gems",150,
,,2,"TRUE","HitTowers",,11,280,"Gold",9000,800,"WildcardEpic",20,1400,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"ZapMachine",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,295000,"Cards",2,890000,"Gold",8000,1480000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,12,420,"Gold",12000,1200,"WildcardLegendary",2,2100,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
"Xbow",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,87500,"Cards",20,265000,"Gold",6000,440000,"Gems",150,
,,2,"TRUE","HitTowers",,11,3500,"Gold",9000,10000,"WildcardEpic",20,18000,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Elixir Collector",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","PlayCard",,8,100,"Cards",100,300,"Gold",4000,500,"Gems",150,
,,2,"TRUE","GenerateElixir",,11,640,"Gold",6000,1800,"WildcardRare",100,3150,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"Lightning",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,77500,"Cards",20,230000,"Gold",6000,385000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,11,180,"Gold",9000,520,"WildcardEpic",20,920,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Rocket",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,55000,"Cards",100,170000,"Gold",4000,280000,"Gems",150,
,,2,"TRUE","KillUnitsAndBuildings",,11,140,"Gold",6000,400,"WildcardRare",100,700,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"BarbarianHut",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","SpawnUnits",,8,900,"Cards",100,2700,"Gold",4000,4500,"Gems",150,
,,2,"TRUE","DealDamage","TID_MASTERY_TASK_DEALDAMAGE_BARBARIAN_HUT",11,160000,"Gold",6000,455000,"WildcardRare",100,800000,"Gold",9000,
,,3,"FALSE",,,14,,,,,,,,,,
"ElectroGiant",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,280000,"Cards",20,840000,"Gold",6000,1400000,"Gems",150,
,,2,"TRUE","HitTowers",,11,980,"Gold",9000,2800,"WildcardEpic",20,4900,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"Golem",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,145000,"Cards",20,440000,"Gold",6000,740000,"Gems",150,
,,2,"TRUE","HitTowers",,11,980,"Gold",9000,2800,"WildcardEpic",20,4900,"Gold",15000,
,,3,"FALSE",,,14,,,,,,,,,,
"MightyMiner",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,12,275000,"Cards",1,830000,"Gold",10000,1380000,"Gems",150,
,,2,"TRUE","HitUnitsWithMaxStrength","TID_MASTERY_TASK_DRILLMAXSTRENGTH",13,350,"Gold",15000,1000,"Gems",300,1750,"Gold",25000,
,,3,"FALSE",,,14,,,,,,,,,,
"Monk",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,12,215000,"Cards",1,650000,"Gold",10000,1080000,"Gems",150,
,,2,"TRUE","KnockbackUnits",,13,250,"Gold",15000,760,"Gems",300,1250,"Gold",25000,
,,3,"FALSE",,,14,,,,,,,,,,
"Phoenix",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,125000,"Cards",2,380000,"Gold",8000,640000,"Gems",150,
,,2,"TRUE","HitUnits",,12,840,"Gold",12000,2400,"WildcardLegendary",2,4200,"Gold",18000,
,,3,"FALSE",,,14,,,,,,,,,,
