"Name","Strikes","Crowns","Premium","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable","FeaturedDraft","SkinSet","Strike","UnlockedOnDay","Tier","BonusEmoteIDHigh","BonusEmoteIDLow","BonusGems","BonusTowerSkin","BonusConsumable","BonusConsumableAmount"
,,280,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,290,"TRUE",1,,,,,,,,"Common",,,,,22,2,,,,,,
,,290,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,300,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,23,3,,,,,,
,,300,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,310,"TRUE",4000,,,"Gold",,,,,,,,,,24,3,,,,,,
,,310,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,320,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,25,3,,,,,,
,,320,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,330,"TRUE",4000,,,"Gold",,,,,,,,,,26,3,,,,,,
,,330,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,340,"TRUE",1,,,,,,,,"Legendary",,,,,26,3,,,,,,
,,340,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,350,"TRUE",,,,,"SeasonPass_Pro_T4",,,,,,,,,26,3,,,,,,
,,350,,,,,,"SeasonPass_Pro_T4",,,,,,,,,,3,,,,,,
"Pro_CW2_Launch",,0,"TRUE",,,,,,,,,,,,,,0,0,,,,,,
,,0,,1000,,,"Gold",,,,,,,,,,,0,,,,,,
,,10,"TRUE",10000,,,"Gold",,,,,,,,,,0,0,,,,,,
,,10,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,20,"TRUE",1,,,,,,,,,,,,"TRUE",1,0,,,,,,
,,20,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,30,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,2,0,,,,,,
,,30,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,40,"TRUE",1,,,,,,,,"Epic",,,,,3,0,,,,,,
,,40,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,50,"TRUE",,,,,,,,,,,,15,,4,0,,,,,,
,,50,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,60,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,5,0,,,,,,
,,60,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,70,"TRUE",3000,,,"Gold",,,,,,,,,,5,0,,,,,,
,,70,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,80,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,6,0,,,,,,
,,80,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,90,"TRUE",1,,,,,,,,"Rare",,,,,6,0,,,,,,
,,90,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,100,"TRUE",1,,,,,,,,,,,,"TRUE",7,1,,,,,,
,,100,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,2002,,
,,110,"TRUE",1,,,,,,,,,,,,"TRUE",8,1,,,,,,
,,110,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,120,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,9,1,,,,,,
,,120,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,130,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,10,1,,,,,,
,,130,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,140,"TRUE",3000,,,"Gold",,,,,,,,,,11,1,,,,,,
,,140,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,150,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,12,1,,,,,,
,,150,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,160,"TRUE",1,,,,,,,,,,,,"TRUE",12,1,,,,,,
,,160,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,170,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,13,1,,,,,,
,,170,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,180,"TRUE",4000,,,"Gold",,,,,,,,,,13,1,,,,,,
,,180,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,190,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,14,1,,,,,,
,,190,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,200,"TRUE",,,,,,10,0,,,,,,,15,2,,,,,,
,,200,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,210,"TRUE",4000,,,"Gold",,,,,,,,,,16,2,,,,,,
,,210,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,220,"TRUE",1,,,,,,,,,,,,"TRUE",17,2,,,,,,
,,220,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,230,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,18,2,,,,,,
,,230,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,240,"TRUE",4000,,,"Gold",,,,,,,,,,19,2,,,,,,
,,240,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,250,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,19,2,,,,,,
,,250,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,260,"TRUE",1,,,,,,,,,,,,"TRUE",20,2,,,,,,
,,260,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,270,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,20,2,,,,,,
,,270,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,280,"TRUE",4000,,,"Gold",,,,,,,,,,21,2,,,,,,
,,280,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,290,"TRUE",1,,,,,,,,"Common",,,,,22,2,,,,,,
,,290,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,300,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,23,3,,,,,,
,,300,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,310,"TRUE",4000,,,"Gold",,,,,,,,,,24,3,,,,,,
,,310,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,320,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,25,3,,,,,,
,,320,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,330,"TRUE",4000,,,"Gold",,,,,,,,,,26,3,,,,,,
,,330,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,340,"TRUE",1,,,,,,,,"Legendary",,,,,26,3,,,,,,
,,340,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,350,"TRUE",,,,,"SeasonPass_Pro_T4",,,,,,,,,26,3,,,,,,
,,350,,,,,,"SeasonPass_Pro_T4",,,,,,,,,,3,,,,,,
"Pro_FreeEmote",,0,"TRUE",,,,,,,,,,,,,,0,0,,,,,,
,,0,,1000,,,"Gold",,,,,,,,,,,0,,,,,,
,,10,"TRUE",10000,,,"Gold",,,,,,,,,,0,0,,,,,,
,,10,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,20,"TRUE",1,,,,,,,,,,,,"TRUE",1,0,,,,,,
,,20,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,30,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,2,0,,,,,,
,,30,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,40,"TRUE",1,,,,,,,,"Epic",,,,,3,0,,,,,,
,,40,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,50,"TRUE",1,,,,,,,,,,,,"TRUE",4,0,,,,,,
,,50,,,,,,"Star_<current_arena>",,,,,,,,,,0,1,0,,,,
,,60,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,5,0,,,,,,
,,60,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,70,"TRUE",3000,,,"Gold",,,,,,,,,,5,0,,,,,,
,,70,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,80,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,6,0,,,,,,
,,80,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,90,"TRUE",1,,,,,,,,"Rare",,,,,6,0,,,,,,
,,90,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,100,"TRUE",,,,,,,,,,,,3,,7,1,,,,,,
,,100,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,110,"TRUE",1,,,,,,,,,,,,"TRUE",8,1,,,,,,
,,110,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,120,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,9,1,,,,,,
,,120,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,130,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,10,1,,,,,,
,,130,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,140,"TRUE",3000,,,"Gold",,,,,,,,,,11,1,,,,,,
,,140,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,150,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,12,1,,,,,,
,,150,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,160,"TRUE",1,,,,,,,,,,,,"TRUE",12,1,,,,,,
,,160,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,170,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,13,1,,,,,,
,,170,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,180,"TRUE",4000,,,"Gold",,,,,,,,,,13,1,,,,,,
,,180,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,190,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,14,1,,,,,,
,,190,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,200,"TRUE",,,,,,10,0,,,,,,,15,2,,,,,,
,,200,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,210,"TRUE",4000,,,"Gold",,,,,,,,,,16,2,,,,,,
,,210,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,220,"TRUE",1,,,,,,,,,,,,"TRUE",17,2,,,,,,
,,220,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,230,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,18,2,,,,,,
,,230,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,240,"TRUE",4000,,,"Gold",,,,,,,,,,19,2,,,,,,
,,240,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,250,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,19,2,,,,,,
,,250,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,260,"TRUE",1,,,,,,,,,,,,"TRUE",20,2,,,,,,
,,260,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,270,"TRUE",,,,,"SeasonPass_Pro_T2",,,,,,,,,20,2,,,,,,
,,270,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,280,"TRUE",4000,,,"Gold",,,,,,,,,,21,2,,,,,,
,,280,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,290,"TRUE",1,,,,,,,,"Common",,,,,22,2,,,,,,
,,290,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,300,"TRUE",,,,,"SeasonPass_Pro_T3",,,,,,,,,23,3,,,,,,
,,300,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,310,"TRUE",4000,,,"Gold",,,,,,,,,,24,3,,,,,,
,,310,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,320,"TRUE",,,,,"SeasonPass_Pro_T1",,,,,,,,,25,3,,,,,,
,,320,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,330,"TRUE",4000,,,"Gold",,,,,,,,,,26,3,,,,,,
,,330,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,340,"TRUE",1,,,,,,,,"Legendary",,,,,26,3,,,,,,
,,340,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,350,"TRUE",,,,,"SeasonPass_Pro_T4",,,,,,,,,26,3,,,,,,
,,350,,,,,,"SeasonPass_Pro_T4",,,,,,,,,,3,,,,,,
"Pro_WildCards_Common",,0,"TRUE",,,,,,,,,,,,,,0,0,,,,,,
,,0,,1000,,,"Gold",,,,,,,,,,,0,,,,,,
,,10,"TRUE",10000,,,"Gold",,,,,,,,,,0,0,,,,,,
,,10,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,20,"TRUE",100,,,,,,,,,"WildcardCommon",,,,1,0,,,,,,
,,20,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,30,"TRUE",20,,,,,,,,,"WildcardRare",,,,2,0,,,,,,
,,30,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,40,"TRUE",10,,,,,,,,,"WildcardEpic",,,,3,0,,,,,,
,,40,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,50,"TRUE",1,,,,,,,,,"BookCardAll",,,,4,0,,,,,,
,,50,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"WildcardEpic",5
,,60,"TRUE",100,,,,,,,,,"WildcardCommon",,,,5,0,,,,,,
,,60,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,70,"TRUE",20,,,,,,,,,"WildcardRare",,,,5,0,,,,,,
,,70,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"ChestKey",1
,,80,"TRUE",10,,,,,,,,,"WildcardEpic",,,,6,0,,,,,,
,,80,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,90,"TRUE",1,,,,,,,,"Rare",,,,,6,0,,,,,,
,,90,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,100,"TRUE",,,,,,,,,,,,3,,7,1,,,,,,
,,100,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,110,"TRUE",10000,,,"Gold",,,,,,,,,,8,1,,,,,,
,,110,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardRare",10
,,120,"TRUE",100,,,,,,,,,"WildcardCommon",,,,9,1,,,,,,
,,120,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,130,"TRUE",20,,,,,,,,,"WildcardRare",,,,10,1,,,,,,
,,130,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,140,"TRUE",10,,,,,,,,,"WildcardEpic",,,,11,1,,,,,,
,,140,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,150,"TRUE",2,,,,,,,,,"ChestKey",,,,12,1,,,,,,
,,150,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardCommon",50
,,160,"TRUE",100,,,,,,,,,"WildcardCommon",,,,12,1,,,,,,
,,160,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,170,"TRUE",20,,,,,,,,,"WildcardRare",,,,13,1,,,,,,
,,170,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,180,"TRUE",10,,,,,,,,,"WildcardEpic",,,,13,1,,,,,,
,,180,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,190,"TRUE",1,,,,,,,,"Epic",,,,,14,1,,,,,,
,,190,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardEpic",5
,,200,"TRUE",,,,,,10,0,,,,,,,15,2,,,,,,
,,200,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,210,"TRUE",10000,,,"Gold",,,,,,,,,,16,2,,,,,,
,,210,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,220,"TRUE",100,,,,,,,,,"WildcardCommon",,,,17,2,,,,,,
,,220,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,"ChestKey",1
,,230,"TRUE",20,,,,,,,,,"WildcardRare",,,,18,2,,,,,,
,,230,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,240,"TRUE",10,,,,,,,,,"WildcardEpic",,,,19,2,,,,,,
,,240,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,250,"TRUE",1,,,,,,,,"Common",,,,,19,2,,,,,,
,,250,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,"WildcardRare",10
,,260,"TRUE",100,,,,,,,,,"WildcardCommon",,,,20,2,,,,,,
,,260,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,270,"TRUE",20,,,,,,,,,"WildcardRare",,,,20,2,,,,,,
,,270,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,280,"TRUE",10,,,,,,,,,"WildcardEpic",,,,21,2,,,,,,
,,280,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,290,"TRUE",1,,,,,,,,"Legendary",,,,,22,2,,,,,,
,,290,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,300,"TRUE",1,,,,,,,,,"GoldCoin",,,,23,3,,,,,,
,,300,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,"WildcardCommon",50
,,310,"TRUE",10000,,,"Gold",,,,,,,,,,24,3,,,,,,
,,310,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,320,"TRUE",100,,,,,,,,,"WildcardCommon",,,,25,3,,,,,,
,,320,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,330,"TRUE",20,,,,,,,,,"WildcardRare",,,,26,3,,,,,,
,,330,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,340,"TRUE",10,,,,,,,,,"WildcardEpic",,,,26,3,,,,,,
,,340,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,"WildcardLegendary",1
,,350,"TRUE",1,,,,,,,,,"WildcardLegendary",,,,26,3,,,,,,
,,350,,1,,,,,,,,,"BookCardCommon",,,,,3,,,,,,
"Pro_WildCards_Rare",,0,"TRUE",,,,,,,,,,,,,,0,0,,,,,,
,,0,,1000,,,"Gold",,,,,,,,,,,0,,,,,,
,,10,"TRUE",10000,,,"Gold",,,,,,,,,,0,0,,,,,,
,,10,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,20,"TRUE",100,,,,,,,,,"WildcardCommon",,,,1,0,,,,,,
,,20,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,30,"TRUE",20,,,,,,,,,"WildcardRare",,,,2,0,,,,,,
,,30,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,40,"TRUE",10,,,,,,,,,"WildcardEpic",,,,3,0,,,,,,
,,40,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,50,"TRUE",1,,,,,,,,,"BookCardAll",,,,4,0,,,,,,
,,50,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"WildcardEpic",5
,,60,"TRUE",100,,,,,,,,,"WildcardCommon",,,,5,0,,,,,,
,,60,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,70,"TRUE",20,,,,,,,,,"WildcardRare",,,,5,0,,,,,,
,,70,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"ChestKey",1
,,80,"TRUE",10,,,,,,,,,"WildcardEpic",,,,6,0,,,,,,
,,80,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,90,"TRUE",1,,,,,,,,"Rare",,,,,6,0,,,,,,
,,90,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,100,"TRUE",,,,,,,,,,,,3,,7,1,,,,,,
,,100,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,110,"TRUE",10000,,,"Gold",,,,,,,,,,8,1,,,,,,
,,110,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardRare",10
,,120,"TRUE",100,,,,,,,,,"WildcardCommon",,,,9,1,,,,,,
,,120,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,130,"TRUE",20,,,,,,,,,"WildcardRare",,,,10,1,,,,,,
,,130,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,140,"TRUE",10,,,,,,,,,"WildcardEpic",,,,11,1,,,,,,
,,140,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,150,"TRUE",2,,,,,,,,,"ChestKey",,,,12,1,,,,,,
,,150,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardCommon",50
,,160,"TRUE",100,,,,,,,,,"WildcardCommon",,,,12,1,,,,,,
,,160,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,170,"TRUE",20,,,,,,,,,"WildcardRare",,,,13,1,,,,,,
,,170,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,180,"TRUE",10,,,,,,,,,"WildcardEpic",,,,13,1,,,,,,
,,180,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,190,"TRUE",1,,,,,,,,"Epic",,,,,14,1,,,,,,
,,190,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardEpic",5
,,200,"TRUE",,,,,,10,0,,,,,,,15,2,,,,,,
,,200,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,210,"TRUE",10000,,,"Gold",,,,,,,,,,16,2,,,,,,
,,210,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,220,"TRUE",100,,,,,,,,,"WildcardCommon",,,,17,2,,,,,,
,,220,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,"ChestKey",1
,,230,"TRUE",20,,,,,,,,,"WildcardRare",,,,18,2,,,,,,
,,230,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,240,"TRUE",10,,,,,,,,,"WildcardEpic",,,,19,2,,,,,,
,,240,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,250,"TRUE",1,,,,,,,,"Common",,,,,19,2,,,,,,
,,250,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,"WildcardRare",10
,,260,"TRUE",100,,,,,,,,,"WildcardCommon",,,,20,2,,,,,,
,,260,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,270,"TRUE",20,,,,,,,,,"WildcardRare",,,,20,2,,,,,,
,,270,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,280,"TRUE",10,,,,,,,,,"WildcardEpic",,,,21,2,,,,,,
,,280,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,290,"TRUE",1,,,,,,,,"Legendary",,,,,22,2,,,,,,
,,290,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,300,"TRUE",1,,,,,,,,,"GoldCoin",,,,23,3,,,,,,
,,300,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,"WildcardCommon",50
,,310,"TRUE",10000,,,"Gold",,,,,,,,,,24,3,,,,,,
,,310,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,320,"TRUE",100,,,,,,,,,"WildcardCommon",,,,25,3,,,,,,
,,320,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,330,"TRUE",20,,,,,,,,,"WildcardRare",,,,26,3,,,,,,
,,330,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,,
,,340,"TRUE",10,,,,,,,,,"WildcardEpic",,,,26,3,,,,,,
,,340,,,,,,"Star_<current_arena>",,,,,,,,,,3,,,,,"WildcardLegendary",1
,,350,"TRUE",1,,,,,,,,,"WildcardLegendary",,,,26,3,,,,,,
,,350,,1,,,,,,,,,"BookCardRare",,,,,3,,,,,,
"Pro_WildCards_Epic",,0,"TRUE",,,,,,,,,,,,,,0,0,,,,,,
,,0,,1000,,,"Gold",,,,,,,,,,,0,,,,,,
,,10,"TRUE",10000,,,"Gold",,,,,,,,,,0,0,,,,,,
,,10,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,20,"TRUE",100,,,,,,,,,"WildcardCommon",,,,1,0,,,,,,
,,20,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,30,"TRUE",20,,,,,,,,,"WildcardRare",,,,2,0,,,,,,
,,30,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,40,"TRUE",10,,,,,,,,,"WildcardEpic",,,,3,0,,,,,,
,,40,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,50,"TRUE",1,,,,,,,,,"BookCardAll",,,,4,0,,,,,,
,,50,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"WildcardEpic",5
,,60,"TRUE",100,,,,,,,,,"WildcardCommon",,,,5,0,,,,,,
,,60,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,70,"TRUE",20,,,,,,,,,"WildcardRare",,,,5,0,,,,,,
,,70,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,"ChestKey",1
,,80,"TRUE",10,,,,,,,,,"WildcardEpic",,,,6,0,,,,,,
,,80,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,90,"TRUE",1,,,,,,,,"Rare",,,,,6,0,,,,,,
,,90,,,,,,"Star_<current_arena>",,,,,,,,,,0,,,,,,
,,100,"TRUE",,,,,,,,,,,,3,,7,1,,,,,,
,,100,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,110,"TRUE",10000,,,"Gold",,,,,,,,,,8,1,,,,,,
,,110,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardRare",10
,,120,"TRUE",100,,,,,,,,,"WildcardCommon",,,,9,1,,,,,,
,,120,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,130,"TRUE",20,,,,,,,,,"WildcardRare",,,,10,1,,,,,,
,,130,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,140,"TRUE",10,,,,,,,,,"WildcardEpic",,,,11,1,,,,,,
,,140,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,150,"TRUE",2,,,,,,,,,"ChestKey",,,,12,1,,,,,,
,,150,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardCommon",50
,,160,"TRUE",100,,,,,,,,,"WildcardCommon",,,,12,1,,,,,,
,,160,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,170,"TRUE",20,,,,,,,,,"WildcardRare",,,,13,1,,,,,,
,,170,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,180,"TRUE",10,,,,,,,,,"WildcardEpic",,,,13,1,,,,,,
,,180,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,,
,,190,"TRUE",1,,,,,,,,"Epic",,,,,14,1,,,,,,
,,190,,,,,,"Star_<current_arena>",,,,,,,,,,1,,,,,"WildcardEpic",5
,,200,"TRUE",,,,,,10,0,,,,,,,15,2,,,,,,
,,200,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,210,"TRUE",10000,,,"Gold",,,,,,,,,,16,2,,,,,,
,,210,,,,,,"Star_<current_arena>",,,,,,,,,,2,,,,,,
,,220,"TRUE",100,,,,,,,,,"WildcardCommon",,,,17,2,,,,,,
