"Name","EndCondition","KillChildWavesOnEnd","ActionOrder","ActionType","ActionArgString","ActionIsEnabled","ActionStartCondition","ActionSpawnCount","ActionSpawnX","ActionSpawnY","ActionSpawnDelay","ActionSpawnLevel"
,"var3","Global","User set variable #3 (default value at start is 0).",,,,,,,,,
,"var4","Global","User set variable #4 (default value at start is 0).",,,,,,,,,
,"var5","Global","User set variable #5 (default value at start is 0).",,,,,,,,,
,"card_level1","Global","Players card level in deck slot 1.",,,,,,,,,
,"card_level2","Global","Players card level in deck slot 2.",,,,,,,,,
,"card_level3","Global","Players card level in deck slot 3.",,,,,,,,,
,"card_level4","Global","Players card level in deck slot 4.",,,,,,,,,
,"card_level5","Global","Players card level in deck slot 5.",,,,,,,,,
,"card_level6","Global","Players card level in deck slot 6.",,,,,,,,,
,"card_level7","Global","Players card level in deck slot 7.",,,,,,,,,
,"card_level8","Global","Players card level in deck slot 8.",,,,,,,,,
,"time_left","Global","Time left (in ms).",,,,,,,,,
,"time_in_line","Wave","How long the current action line has been waiting (in ms).",,,,,,,,,
,"time_in_wave","Wave","How long the current wave has been alive.",,,,,,,,,
,"wave_repeats","Wave","How many times has the wave repeated (starts from 0).",,,,,,,,,
,"base_x","Wave","User set value (via SetBaseXY), used for centralized spawn patterns.",,,,,,,,,
,"base_y","Wave","User set value (via SetBaseXY), used for centralized spawn patterns.",,,,,,,,,
,"child_waves_alive","Wave","Number of child waves that are still alive.",,,,,,,,,
,"has_spawns_in_queue","Wave","True if there are spawns still to be spawned (spawn delay for some of the units has not passed yet).",,,,,,,,,
,"units_alive","Wave","Number of units alive for the wave (both unspawned + units in the field).",,,,,,,,,
,"wave_var1","Wave","User set wave specific variable #1 (default value at start is 0). Propagated to child waves on spawn.",,,,,,,,,
,"wave_var2","Wave","User set wave specific variable #2 (default value at start is 0). Propagated to child waves on spawn.",,,,,,,,,
,"wave_var3","Wave","User set wave specific variable #3 (default value at start is 0). Propagated to child waves on spawn.",,,,,,,,,
,"wave_var4","Wave","User set wave specific variable #4 (default value at start is 0). Propagated to child waves on spawn.",,,,,,,,,
,"wave_var5","Wave","User set wave specific variable #5 (default value at start is 0). Propagated to child waves on spawn.",,,,,,,,,
,"defense_card_level1","Wave","Card level of user card in current defense wave slot #1.",,,,,,,,,
,"defense_card_level2","Wave","Card level of user card in current defense wave slot #2.",,,,,,,,,
,"defense_card_level3","Wave","Card level of user card in current defense wave slot #3.",,,,,,,,,
,"defense_card_level4","Wave","Card level of user card in current defense wave slot #4.",,,,,,,,,
,"defense_card_cost1","Wave","Card elixir cost of user card in current defense wave slot #1.",,,,,,,,,
,"defense_card_cost2","Wave","Card elixir cost of user card in current defense wave slot #2.",,,,,,,,,
,"defense_card_cost3","Wave","Card elixir cost of user card in current defense wave slot #3.",,,,,,,,,
,"defense_card_cost4","Wave","Card elixir cost of user card in current defense wave slot #4.",,,,,,,,,
,"current_card_level","Wave","Card level of the current selected defense wave card (selected by SetDefenseCardIndex).",,,,,,,,,
,"current_card_cost","Wave","Card elixir cost of the current selected defense wave card (selected by SetDefenseCardIndex).",,,,,,,,,
,"is_defense_wave_valid","Wave","Is the current defense wave valid",,,,,,,,,
,"current_defense_wave","Wave","Current defense wave index. Starts from 0, can be larger than the amount of valid waves.",,,,,,,,,
,"spawn_index","Spawning","The index of the spawning unit. Useful for creating patterns and timings.",,,,,,,,,
,,,,,,,,,,,,
"Functions:","NAME","COMMENT",,,,,,,,,,
,"abs(a)","Returns the absolute (positive) value.",,,,,,,,,,
,"clamp(a, min, max)","Clamps a between min and max (inclusive: min <= a <= max).",,,,,,,,,,
,"max(a, b)","Returns the bigger value of a and b.",,,,,,,,,,
,"min(a, b)","Returns the smaller value of a and b.",,,,,,,,,,
,"rand(a)","Returns a random number between 0 and a-1.",,,,,,,,,,
,"rand(a, b)","Returns a random number between a and b (inclusive).",,,,,,,,,,
,"select(cond, if_true, if_false)","Returns the value in if_true if cond is true (non-zero), otherwise returns the value if_false.",,,,,,,,,,
,"mul_i100(a, b)","Multiplies the integer number a with b, assuming that b=100 means one (200 means two and so on).",,,,,,,,,,
,"div_i100(a, b)","Divides the integer number a with b, assuming that b=100 means one (200 means two and so on). Division by 0 returns 0.",,,,,,,,,,
,"div_roundup(a, b)","Divides the integer number a with b, rounding the result up (for example 8/7 would give 2) . Works for positive numbers",,,,,,,,,,
,"tower_hp(a)","Returns the health (in points) of the given defense tower index (0 onwards).",,,,,,,,,,
,"tower_hp_percent(a)","Returns the percent health (0-100) of the given defense tower index (0 onwards).",,,,,,,,,,
,,,,,,,,,,,,
"Macros:","String in ’ActionArgString’ can contain macros. These macros are substituted by their computed value.",,,,,,,,,,,
,,,,,,,,,,,,
,"MACRO NAME","COMMENT",,,,,,,,,,
,"$CARD1$","The name of the card in the AI deck slot 1.",,,,,,,,,,
,"$CARD2$","The name of the card in the AI deck slot 2.",,,,,,,,,,
,"$CARD3$","The name of the card in the AI deck slot 3.",,,,,,,,,,
,"$CARD4$","The name of the card in the AI deck slot 4.",,,,,,,,,,
,"$CARD5$","The name of the card in the AI deck slot 5.",,,,,,,,,,
,"$CARD6$","The name of the card in the AI deck slot 6.",,,,,,,,,,
,"$CARD7$","The name of the card in the AI deck slot 7.",,,,,,,,,,
,"$CARD8$","The name of the card in the AI deck slot 8.",,,,,,,,,,
,"$DEFENSE_WAVE$","The name of the current defense wave.",,,,,,,,,,
,"$DEFENSE_WAVE_NUMBER$","The ordinal number for the current defense wave (1 for the first, 2 for the second etc.)",,,,,,,,,,
,"$DEFENSE_CARD1$","The name of the card in the current defense wave slot 1.",,,,,,,,,,
,"$DEFENSE_CARD2$","The name of the card in the current defense wave slot 2.",,,,,,,,,,
,"$DEFENSE_CARD3$","The name of the card in the current defense wave slot 3.",,,,,,,,,,
,"$DEFENSE_CARD4$","The name of the card in the current defense wave slot 4.",,,,,,,,,,
,"$CURRENT_CARD$","The name of the current chosen card in the current defense wave. Changed by SetDefenseCardIndex.",,,,,,,,,,
,"$CURRENT_CARD_PVE_TYPE$","The PVE defense type of the current selected card (the type is configured in the character CSVs).",,,,,,,,,,
,"$VAR1$","The numeric value of global user variable #1.",,,,,,,,,,
,"$VAR2$","The numeric value of global user variable #2.",,,,,,,,,,
,"$VAR3$","The numeric value of global user variable #3.",,,,,,,,,,
,"$VAR4$","The numeric value of global user variable #4.",,,,,,,,,,
,"$VAR5$","The numeric value of global user variable #5.",,,,,,,,,,
,"$WAVE_VAR1$","The numeric value of wave specific user variable #1.",,,,,,,,,,
,"$WAVE_VAR2$","The numeric value of wave specific user variable #2.",,,,,,,,,,
,"$WAVE_VAR3$","The numeric value of wave specific user variable #3.",,,,,,,,,,
,"$WAVE_VAR4$","The numeric value of wave specific user variable #4.",,,,,,,,,,
,"$WAVE_VAR5$","The numeric value of wave specific user variable #5.",,,,,,,,,,
